id,atypeId,description,etypeId,traits,iconIndex,name,note,price,params0,params1,params2,params3,params4,params5,params6,params7
Id,Armor Type,Description,Equip Type,Traits,Icon Index,Name,Note,Price,Max HP,Max MP,Attack,Defense,M.Attack,M.Defense,Agility,Luck
1,2,Jerkin of sturdy boiled hide. Increases Constitution by 3.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Leather Armor,armor_warrior_1,30,0,0,0,3,0,3,0,0
2,2,Armor of interlocked metal rings. Increases Constitution by 5.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Chain Mail,armor_warrior_2,45,0,0,0,5,0,5,0,0
3,2,"Suit of all-encasing steel, the pride of knights. Increases Constitution by 7.",2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Plate Armor,armor_warrior_3,65,0,0,0,7,0,7,0,0
4,2,Heavy plate glowing with defensive enchantments. Increases Constitution by 9.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Red Armor,armor_warrior_4,90,0,0,0,9,0,9,0,0
5,2,"Looks ceremonial, but no known blade can pierce it. Increases Constitution by 11.",2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Golden Armor,armor_warrior_5,120,0,0,0,11,0,11,0,0
6,1,Leather armor treated to reduce noise. Increases Perception by 6.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Oiled Leather,armor_rogue_1,30,0,0,0,0,0,0,6,6
7,1,Colored with dark dye to blend into shadows. Increases Perception by 9.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Black Leather,armor_rogue_2,45,0,0,0,0,0,0,9,9
8,1,Equally discreet in dungeon or wilderness. Increases Perception by 12.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Camouflage Vest,armor_rogue_3,65,0,0,0,0,0,0,12,12
9,1,Wraps the wearer in a veil of twilight. Increases Perception by 15.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Penumbral Armor,armor_rogue_4,90,0,0,0,0,0,0,15,15
10,1,Allows stealth in the open in broad daylight. Increases Perception by 18.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Umbral Armor,armor_rogue_5,120,0,0,0,0,0,0,18,18
11,3,Garment showing humility and purpose. Increases Constitution by 6.,2,"[{""code"":31,""dataId"":2,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Acolyte Robe,armor_healer_1,30,0,0,0,6,0,6,0,0
12,3,Worn by those dedicated to tending the wounded in battle. Increases Constitution by 9.,2,"[{""code"":31,""dataId"":2,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Medic Robe,armor_healer_2,45,0,0,0,9,0,9,0,0
13,3,Turns the healer's own magics inward to fend off harm. Increases Constitution by 12.,2,"[{""code"":31,""dataId"":2,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Defender Mantle,armor_healer_3,65,0,0,0,12,0,12,0,0
14,3,Projects authority and dissipates curses. Increases Constitution by 15.,2,"[{""code"":31,""dataId"":2,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Physician Mantle,armor_healer_4,90,0,0,0,15,0,15,0,0
15,3,Attire of those who have saved the lives of kings. Increases Constitution by 18.,2,"[{""code"":31,""dataId"":2,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Royal Mantle,armor_healer_5,120,0,0,0,18,0,18,0,0
16,4,Hedge-mage's outfit. Increases Intelligence by 2.,2,"[{""code"":31,""dataId"":2,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Magician Robe,armor_wizard_1,30,0,0,0,0,2,0,0,0
17,4,Clothes for a wandering wonder-worker. Increases Intelligence by 4.,2,"[{""code"":31,""dataId"":2,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Wizard Robe,armor_wizard_2,45,0,0,0,0,4,0,0,0
18,4,Denotes initiation into elite secrets. Increases Intelligence by 6.,2,"[{""code"":31,""dataId"":2,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Robe of Mysteries,armor_wizard_3,65,0,0,0,0,6,0,0,0
19,4,Spirits and elementals bow before it. Increases Intelligence by 9.,2,"[{""code"":31,""dataId"":2,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Archmage Robe,armor_wizard_4,90,0,0,0,0,9,0,0,0
20,4,Symbol of the power behind the throne. Increases Intelligence by 12.,2,"[{""code"":31,""dataId"":2,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Royal Magus Robe,armor_wizard_5,120,0,0,0,0,12,0,0,0
21,5,Ordinary clothing. Confers no benefit.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Plain Clothing,armor_base_0,0,0,0,0,0,0,0,0,0
22,6,"Screams when struck, for it feels pain in its wearer's place. Increases Constitution by 20.",2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Shade Armor,armor_special_0,150,0,0,0,20,0,20,0,0
23,6,Its tireless power inures the wearer to mundane discomfort. Increases all Stats by 6.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Crystal Armor,armor_special_1,170,0,0,6,6,6,6,6,6
24,6,Makes you extra fluffy! Increases Constitution and Intelligence by 25 each.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Jean Chalard's Noble Tunic,armor_special_2,200,0,0,0,25,25,25,0,0
25,6,This armor was earned by participating in a sponsored Challenge made by Take This. Congratulations! Increases all Stats by 5.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Take This Armor,armor_special_takeThis,0,0,0,5,5,5,5,5,5
26,6,"Although delicate, this armor makes your skin as harmful to the touch as a fire coral. Increases Strength by 15.",2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Finned Oceanic Armor,armor_special_finnedOceanicArmor,130,0,0,15,0,0,0,0,0
27,6,These elegant robes bestow each strike and spell with a burst of ethereal fire. Increases Constitution by 15.,2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Pyromancer's Robes,armor_special_pyromancersRobes,130,0,0,0,15,0,15,0,0
28,6,"These colorful robes may be conspicuous, but you can sing your way out of any situation. Increases Perception by 3.",2,"[{""code"":31,""dataId"":1,""value"":0},{""code"":22,""dataId"":0,""value"":0}]",137,Bardic Robes,armor_special_bardRobes,0,0,0,0,0,0,0,3,3
