id,battlerName,characterIndex,characterName,classId,equips,faceIndex,faceName,traits,initialLevel,maxLevel,name,nickname,note,profile
Id,Battler Name,Character Index,Character Name,Class Id,Equips,Face Index,Face Name,Traits,Initial Level,Max Level,Name,Nickname,Note,Profile
1,,0,,1,"[0,0,0,0,0]",0,,[],1,99,1,,,
2,,0,,1,"[0,0,0,0,0]",0,,[],1,99,2,,,
3,,0,,1,"[0,0,0,0,0]",0,,[],1,99,3,,,
4,,0,,1,"[0,0,0,0,0]",0,,[],1,99,4,,,
5,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
6,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
7,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
8,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
9,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
10,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
11,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
12,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
13,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
14,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
15,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
16,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
17,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
18,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
19,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
20,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
21,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
22,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
23,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
24,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
25,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
26,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
27,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
28,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
29,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
30,,0,,1,"[0,0,0,0,0]",0,,[],1,99,,,,
31,Actor1_1,0,Actor1,5,"[1,0,2,3,4]",0,Actor1,[],5,99,Template,,,
