id,actions,battlerHue,battlerName,dropItems,exp,traits,gold,name,note,params0,params1,params2,params3,params4,params5,params6,params7,damage_critical,damage_elementId,damage_formula,damage_type,damage_variance
Id,Actions,Battler Hue,Battler Name,Drop Items,Exp,Traits,Gold,Name,Note,Max HP,Max MP,Attack,Defense,M.Attack,M.Defense,Agility,Luck,Damage Critical,Damage Element Id,Damage Formula,Damage Type,Damage Variance
1,"[{""conditionParam1"":0,""conditionParam2"":0,""conditionType"":0,""rating"":5,""skillId"":1}]",0,Slime,"[{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0}]",0,"[{""code"":22,""dataId"":0,""value"":0.95},{""code"":22,""dataId"":1,""value"":0.05},{""code"":31,""dataId"":1,""value"":0}]",15,Slime,Warrior,50,45,22,22,8,8,8,8,,,,,
2,"[{""conditionParam1"":0,""conditionParam2"":0,""conditionType"":0,""rating"":5,""skillId"":1}]",74,Slime,"[{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0}]",0,"[{""code"":22,""dataId"":0,""value"":0.95},{""code"":22,""dataId"":1,""value"":0.05},{""code"":31,""dataId"":1,""value"":0},{""code"":14,""dataId"":7,""value"":1},{""code"":32,""dataId"":7,""value"":0.5}]",20,Poison Slime,Warrior,50,50,30,30,10,10,10,10,,,,,
3,"[{""conditionParam1"":0,""conditionParam2"":0,""conditionType"":0,""rating"":5,""skillId"":1}]",0,Hornet,"[{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0}]",0,"[{""code"":22,""dataId"":0,""value"":0.95},{""code"":22,""dataId"":1,""value"":0.05},{""code"":31,""dataId"":1,""value"":0},{""code"":33,""dataId"":0,""value"":3}]",15,Hornet,Rogue,50,45,8,22,8,8,22,22,,,,,
4,"[{""conditionParam1"":0,""conditionParam2"":0,""conditionType"":0,""rating"":5,""skillId"":1}]",0,Mimic,"[{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0}]",0,"[{""code"":22,""dataId"":0,""value"":0.95},{""code"":22,""dataId"":1,""value"":0.05},{""code"":31,""dataId"":1,""value"":0}]",200,Mimic,Wizard,50,240,35,35,105,105,35,35,,,,,
5,"[{""conditionParam1"":0,""conditionParam2"":0,""conditionType"":0,""rating"":5,""skillId"":1}]",0,Rat,"[{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0}]",0,"[{""code"":22,""dataId"":0,""value"":0.95},{""code"":22,""dataId"":1,""value"":0.05},{""code"":31,""dataId"":1,""value"":0},{""code"":34,""dataId"":0,""value"":1}]",25,Rodent of Unfortunate Size,Rogue,50,55,12,38,12,12,38,38,,,,,
6,"[{""conditionParam1"":0,""conditionParam2"":0,""conditionType"":0,""rating"":5,""skillId"":1}]",0,Willowisp,"[{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0}]",0,"[{""code"":22,""dataId"":0,""value"":0.95},{""code"":22,""dataId"":1,""value"":0.05},{""code"":31,""dataId"":1,""value"":0}]",30,Field Wisp,Healer,50,60,15,15,15,45,45,15,,,,,
7,"[{""conditionParam1"":0,""conditionParam2"":0,""conditionType"":0,""rating"":5,""skillId"":1}]",0,Orc,"[{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0}]",0,"[{""code"":22,""dataId"":0,""value"":0.95},{""code"":22,""dataId"":1,""value"":0.05},{""code"":31,""dataId"":1,""value"":0}]",30,Lowland Orc,Warrior,50,60,45,45,15,15,1,15,,,,,
8,"[{""conditionParam1"":0,""conditionParam2"":0,""conditionType"":0,""rating"":5,""skillId"":1}]",160,Orc,"[{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0}]",0,"[{""code"":22,""dataId"":0,""value"":0.95},{""code"":22,""dataId"":1,""value"":0.05},{""code"":31,""dataId"":1,""value"":0}]",60,Steel Orc,Warrior,50,90,90,90,30,30,1,30,,,,,
9,"[{""conditionParam1"":0,""conditionParam2"":0,""conditionType"":0,""rating"":5,""skillId"":1}]",0,Ogre,"[{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0}]",0,"[{""code"":22,""dataId"":0,""value"":0.95},{""code"":22,""dataId"":1,""value"":0.05},{""code"":31,""dataId"":1,""value"":0}]",70,Ogre,Warrior,50,100,105,105,35,35,1,35,,,,,
10,"[{""conditionParam1"":0,""conditionParam2"":0,""conditionType"":0,""rating"":5,""skillId"":1}]",0,Garuda,"[{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0},{""dataId"":1,""denominator"":1,""kind"":0}]",0,"[{""code"":22,""dataId"":0,""value"":0.95},{""code"":22,""dataId"":1,""value"":0.05},{""code"":31,""dataId"":1,""value"":0}]",500,Garuda,Wizard,50,300,45,45,135,135,1,45,,,,,
